TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
1010 1.01 0.0101 -0.00438315 -0.00505855 -0.000912795 1.51006e-06 0.000273244 2.8926e+08 499.462 3007 857.5 -854.56 -862.248 2.89258e+08 -9.64211e+07 2.8926e+08
1020 1.02 0.0102 -0.00442852 -0.00510947 -0.000921759 1.60796e-06 0.000275026 2.89706e+08 500.32 3007.55 856.831 -854.831 -861.663 2.89704e+08 -9.65698e+07 2.89706e+08
1030 1.03 0.0103 -0.00447388 -0.00516037 -0.000930689 1.71595e-06 0.000276796 2.90151e+08 501.208 3008.13 856.174 -855.095 -861.079 2.90149e+08 -9.67182e+07 2.90151e+08
1040 1.04 0.0104 -0.00451924 -0.00521125 -0.000939585 1.83385e-06 0.000278555 2.90595e+08 502.125 3008.74 855.53 -855.351 -860.498 2.90594e+08 -9.68663e+07 2.90595e+08
1050 1.05 0.0105 -0.00456459 -0.00526211 -0.000948449 1.96146e-06 0.000280304 2.91039e+08 503.071 3009.39 854.897 -855.598 -859.918 2.91037e+08 -9.70141e+07 2.91039e+08
1060 1.06 0.0106 -0.00460994 -0.00531294 -0.000957279 2.09861e-06 0.000282043 2.91482e+08 504.046 3010.06 854.274 -855.838 -859.339 2.9148e+08 -9.71617e+07 2.91482e+08
1070 1.07 0.0107 -0.00465529 -0.00536376 -0.000966077 2.24512e-06 0.000283772 2.91924e+08 505.05 3010.76 853.662 -856.071 -858.763 2.91922e+08 -9.7309e+07 2.91924e+08
1080 1.08 0.0108 -0.00470063 -0.00541455 -0.000974843 2.40083e-06 0.000285492 2.92365e+08 506.083 3011.48 853.061 -856.296 -858.188 2.92363e+08 -9.74561e+07 2.92365e+08
1090 1.09 0.0109 -0.00474596 -0.00546532 -0.000983577 2.56556e-06 0.000287202 2.92805e+08 507.145 3012.24 852.468 -856.514 -857.615 2.92803e+08 -9.76029e+07 2.92805e+08
1100 1.1 0.011 -0.00479129 -0.00551606 -0.000992279 2.73914e-06 0.000288904 2.93245e+08 508.236 3013.03 851.886 -856.726 -857.043 2.93243e+08 -9.77494e+07 2.93245e+08
1110 1.11 0.0111 -0.00483661 -0.00556679 -0.00100095 2.9214e-06 0.000290598 2.93684e+08 509.355 3013.84 851.312 -856.931 -856.473 2.93682e+08 -9.78957e+07 2.93684e+08
1120 1.12 0.0112 -0.00488193 -0.00561749 -0.00100959 3.11219e-06 0.000292283 2.94122e+08 510.503 3014.69 850.747 -857.129 -855.905 2.9412e+08 -9.80417e+07 2.94122e+08
1130 1.13 0.0113 -0.00492724 -0.00566818 -0.0010182 3.31133e-06 0.000293961 2.94559e+08 511.679 3015.56 850.19 -857.32 -855.338 2.94557e+08 -9.81875e+07 2.94559e+08
1140 1.14 0.0114 -0.00497255 -0.00571884 -0.00102678 3.51867e-06 0.000295631 2.94996e+08 512.883 3016.46 849.642 -857.506 -854.773 2.94994e+08 -9.83331e+07 2.94996e+08
1150 1.15 0.0115 -0.00501784 -0.00576949 -0.00103533 3.73406e-06 0.000297294 2.95432e+08 514.116 3017.39 849.101 -857.685 -854.209 2.9543e+08 -9.84784e+07 2.95432e+08
1160 1.16 0.0116 -0.00506314 -0.00582011 -0.00104384 3.95734e-06 0.00029895 2.95867e+08 515.377 3018.34 848.567 -857.859 -853.648 2.95865e+08 -9.86234e+07 2.95867e+08
1170 1.17 0.0117 -0.00510842 -0.00587071 -0.00105233 4.18835e-06 0.000300599 2.96301e+08 516.666 3019.33 848.041 -858.027 -853.087 2.96299e+08 -9.87682e+07 2.96301e+08
1180 1.18 0.0118 -0.0051537 -0.00592129 -0.00106079 4.42695e-06 0.000302242 2.96735e+08 517.983 3020.34 847.522 -858.189 -852.529 2.96733e+08 -9.89128e+07 2.96735e+08
1190 1.19 0.0119 -0.00519897 -0.00597185 -0.00106922 4.673e-06 0.000303879 2.97168e+08 519.327 3021.38 847.01 -858.346 -851.972 2.97166e+08 -9.90572e+07 2.97168e+08
1200 1.2 0.012 -0.00524424 -0.0060224 -0.00107762 4.92634e-06 0.000305509 2.976e+08 520.7 3022.44 846.504 -858.498 -851.417 2.97599e+08 -9.92013e+07 2.976e+08
1210 1.21 0.0121 -0.00528949 -0.00607292 -0.001086 5.18684e-06 0.000307134 2.98032e+08 522.101 3023.54 846.004 -858.644 -850.864 2.9803e+08 -9.93452e+07 2.98032e+08
1220 1.22 0.0122 -0.00533474 -0.00612342 -0.00109434 5.45436e-06 0.000308753 2.98463e+08 523.53 3024.66 845.511 -858.785 -850.312 2.98461e+08 -9.94888e+07 2.98463e+08
1230 1.23 0.0123 -0.00537998 -0.0061739 -0.00110266 5.72876e-06 0.000310367 2.98893e+08 524.986 3025.81 845.023 -858.922 -849.762 2.98892e+08 -9.96323e+07 2.98893e+08
1240 1.24 0.0124 -0.00542522 -0.00622437 -0.00111095 6.0099e-06 0.000311976 2.99323e+08 526.47 3026.98 844.541 -859.053 -849.214 2.99321e+08 -9.97755e+07 2.99323e+08
